budget	genres	homepage	id	keywords	original_language	original_title	overview	popularity	production_companies	production_countries	release_date	revenue cost	runtime	spoken_languages	status	tagline	title	rating	rating_count
60000000	[{"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	http://www.thelegomovie.com	137106	[{"id": 494, "name": "father son relationship"}, {"id": 5376, "name": "creativity"}, {"id": 6054, "name": "friendship"}, {"id": 9977, "name": "part live action"}, {"id": 10324, "name": "toys"}, {"id": 10542, "name": "based on toy"}, {"id": 13072, "name": "falling in love"}, {"id": 163455, "name": "super powers"}, {"id": 179431, "name": "duringcreditsstinger"}, {"id": 204035, "name": "different worlds"}, {"id": 210090, "name": "lego"}, {"id": 230775, "name": "batman"}]	en	The Lego Movie	An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together.	59.547928	[{"name": "Village Roadshow Pictures", "id": 79}, {"name": "DC Comics", "id": 429}, {"name": "Vertigo Entertainment", "id": 829}, {"name": "Lin Pictures", "id": 2723}, {"name": "Warner Bros. Animation", "id": 2785}, {"name": "LEGO", "id": 4081}, {"name": "Warner Bros.", "id": 6194}, {"name": "Animal Logic", "id": 8089}, {"name": "Warner Animation Group", "id": 25120}, {"name": "RatPac-Dune Entertainment", "id": 41624}]	[{"iso_3166_1": "US", "name": "United States of America"}]	2/6/2014	469160692	100	[{"iso_639_1": "en", "name": "English"}]	Released	The story of a nobody who saved everybody.	The Lego Movie	7.5	3070
0	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}]		10040	[{"id": 1336, "name": "ransom"}, {"id": 2562, "name": "press conference"}, {"id": 3799, "name": "ship"}, {"id": 8697, "name": "miss america"}, {"id": 18525, "name": "fbi agent"}]	en	Miss Congeniality 2: Armed and Fabulous	After her triumph at the Miss United States pageant, FBI agent Gracie Hart becomes an overnight sensation -- and the new "face of the FBI." But it's time to spring into action again when the pageant's winner, Cheryl, and emcee, Stan, are abducted.	19.998581	[{"name": "Village Roadshow Pictures", "id": 79}, {"name": "Castle Rock Entertainment", "id": 97}, {"name": "Fortis Films", "id": 4258}]	[{"iso_3166_1": "US", "name": "United States of America"}]	3/11/2005	0	115	[{"iso_639_1": "en", "name": "English"}]	Released	You might feel a little prick	Miss Congeniality 2: Armed and Fabulous	5.3	425
60000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 14, "name": "Fantasy"}]		6278	[{"id": 12554, "name": "dragon"}, {"id": 34152, "name": "evolution"}, {"id": 173893, "name": "fire chief"}, {"id": 173901, "name": "animated map"}, {"id": 173903, "name": "theatre audience"}, {"id": 173905, "name": "dragonslayer"}, {"id": 173911, "name": "tunnel construction"}, {"id": 173912, "name": "fire repellent"}, {"id": 173913, "name": "drilling"}, {"id": 173914, "name": "iodine"}]	en	Reign of Fire	In post-apocalyptic England, an American volunteer and a British survivor team up to fight off a brood of fire-breathing dragons seeking to return to global dominance after centuries of rest underground. The Brit -- leading a clan of survivors to hunt down the King of the Dragons -- has much at stake: His mother was killed by a dragon, but his love is still alive.	27.615108	[{"name": "The Zanuck Company", "id": 80}, {"name": "Spyglass Entertainment", "id": 158}, {"name": "World 2000 Entertainment", "id": 7692}, {"name": "Touchstone Pictures", "id": 9195}, {"name": "Tripod Entertainment", "id": 22902}]	[{"iso_3166_1": "IE", "name": "Ireland"}, {"iso_3166_1": "GB", "name": "United Kingdom"}, {"iso_3166_1": "US", "name": "United States of America"}]	7/12/2002	43061982	101	[{"iso_639_1": "en", "name": "English"}]	Released	Fight Fire With Fire	Reign of Fire	6	669
60000000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	http://gangstersquad.warnerbros.com/	82682	[{"id": 12670, "name": "los angeles"}, {"id": 13142, "name": "gangster"}]	en	Gangster Squad	Los Angeles, 1949. Ruthless, Brooklyn-born mob king Mickey Cohen runs the show in this town, reaping the ill-gotten gains from the drugs, the guns, the prostitutes and â€” if he has his way â€” every wire bet placed west of Chicago. And he does it all with the protection of not only his own paid goons, but also the police and the politicians who are under his control. Itâ€™s enough to intimidate even the bravest, street-hardened copâ€¦ except, perhaps, for the small, secret crew of LAPD outsiders led by Sgt. John Oâ€™Mara and Jerry Wooters who come together to try to tear Cohenâ€™s world apart.	29.041198	[{"name": "Village Roadshow Pictures", "id": 79}, {"name": "Lin Pictures", "id": 2723}, {"name": "Warner Bros.", "id": 6194}, {"name": "Langley Park Production", "id": 8057}]	[{"iso_3166_1": "US", "name": "United States of America"}]	1/10/2013	105200903	113	[{"iso_639_1": "en", "name": "English"}]	Released	No Names. No Badges. No Mercy.	Gangster Squad	6.2	1778
60000000	[{"id": 35, "name": "Comedy"}, {"id": 12, "name": "Adventure"}]		17610	[{"id": 1530, "name": "temple"}, {"id": 2831, "name": "slavery"}, {"id": 4428, "name": "stone age"}, {"id": 7540, "name": "circumcision"}, {"id": 10406, "name": "hebrews"}, {"id": 159955, "name": "cavemen"}, {"id": 178645, "name": "prehistoric adventure"}, {"id": 179431, "name": "duringcreditsstinger"}, {"id": 183414, "name": "prehistoric times"}, {"id": 192918, "name": "prehistoric man"}]	en	Year One	When a couple of lazy hunter-gatherers are banished from their primitive village, they set off on an epic journey through the ancient world.	25.293538	[{"name": "Columbia Pictures", "id": 5}, {"name": "Ocean Pictures", "id": 7433}, {"name": "Apatow Productions", "id": 10105}]	[{"iso_3166_1": "US", "name": "United States of America"}]	6/18/2009	62357900	97	[{"iso_639_1": "en", "name": "English"}]	Released	Meet your ancestors	Year One	4.6	524
60000000	[{"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}]	http://invictusmovie.warnerbros.com	22954	[{"id": 1485, "name": "stadium"}, {"id": 3644, "name": "south africa"}, {"id": 4106, "name": "apartheid"}, {"id": 5856, "name": "nelson mandela"}, {"id": 6075, "name": "sport"}, {"id": 6081, "name": "nation"}, {"id": 7912, "name": "rugby"}, {"id": 8570, "name": "president"}, {"id": 12425, "name": "racism"}, {"id": 12987, "name": "poverty"}, {"id": 33648, "name": "celebration"}, {"id": 179431, "name": "duringcreditsstinger"}]	en	Invictus	Newly elected President Nelson Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby team as they make their historic run to the 1995 Rugby World Cup Championship match.	23.85119	[{"name": "Spyglass Entertainment", "id": 158}, {"name": "Malpaso Productions", "id": 171}, {"name": "Revelations Entertainment", "id": 906}, {"name": "Mace Neufeld Productions", "id": 2767}, {"name": "Warner Bros.", "id": 6194}, {"name": "Liberty Pictures (II)", "id": 76466}]	[{"iso_3166_1": "US", "name": "United States of America"}]	12/10/2009	122233971	134	[{"iso_639_1": "en", "name": "English"}]	Released	His people needed a leader. He gave them a champion.	Invictus	7	1125
60000000	[{"id": 28, "name": "Action"}]	http://www.stateofplaymovie.net/	16995	[{"id": 417, "name": "corruption"}, {"id": 441, "name": "assassination"}, {"id": 703, "name": "detective"}, {"id": 736, "name": "journalist"}, {"id": 782, "name": "assassin"}, {"id": 918, "name": "newspaper"}, {"id": 1705, "name": "congress"}, {"id": 4222, "name": "editor-in-chief"}, {"id": 5514, "name": "conspiracy of murder"}, {"id": 6078, "name": "politics"}, {"id": 6085, "name": "election campaign"}, {"id": 6086, "name": "government"}, {"id": 9826, "name": "murder"}, {"id": 9950, "name": "thriller"}, {"id": 10851, "name": "blog"}, {"id": 12193, "name": "reporter"}]	en	State of Play	Handsome, unflappable U.S. Congressman Stephen Collins is the future of his political party: an honorable appointee who serves as the chairman of a committee overseeing defense spending. All eyes are upon the rising star to be his party's contender for the upcoming presidential race. Until his research assistant/mistress is brutally murdered and buried secrets come tumbling out.	21.685719	[{"name": "Universal Pictures", "id": 33}, {"name": "StudioCanal", "id": 694}, {"name": "Andell Entertainment", "id": 1683}, {"name": "Relativity Media", "id": 7295}, {"name": "Working Title Films", "id": 10163}]	[{"iso_3166_1": "FR", "name": "France"}, {"iso_3166_1": "GB", "name": "United Kingdom"}, {"iso_3166_1": "US", "name": "United States of America"}]	4/17/2009	87784194	127	[{"iso_639_1": "cn", "name": "\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71"}, {"iso_639_1": "en", "name": "English"}]	Released	Find The Truth	State of Play	6.7	484
78146652	[{"id": 10749, "name": "Romance"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}]	http://www.universalstudiosentertainment.com/duplicity/	16558	[{"id": 470, "name": "spy"}]	en	Duplicity	Two romantically-engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together.	13.630049	[{"name": "Universal Pictures", "id": 33}, {"name": "Laura Bickford Productions", "id": 5163}, {"name": "Relativity Media", "id": 7295}, {"name": "Medienproduktion Poseidon Filmgesellschaft", "id": 27317}]	[{"iso_3166_1": "DE", "name": "Germany"}, {"iso_3166_1": "US", "name": "United States of America"}]	3/19/2009	60000000	125	[{"iso_639_1": "en", "name": "English"}, {"iso_639_1": "de", "name": "Deutsch"}, {"iso_639_1": "ru", "name": "P\u0443\u0441\u0441\u043a\u0438\u0439"}, {"iso_639_1": "es", "name": "Espa\u00f1ol"}]	Released	Outwit. Outspy. Outsmart. Outplay. Then get out.	Duplicity	5.7	201
65000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}, {"id": 878, "name": "Science Fiction"}]		9849	[{"id": 9951, "name": "alien"}, {"id": 10539, "name": "martian"}, {"id": 10988, "name": "based on tv series"}, {"id": 11860, "name": "fish out of water"}]	en	My Favorite Martian	News producer, Tim O'Hara gets himself fired for unwillingly compromising his bosses' daughter during a live transmission. A little later, he witnesses the crashing of a small Martian spacecraft, realizing his one-time chance of delivering a story that will rock the earth. Since Tim took the original but scaled-down spaceship with him, the Martian follows him to retrieve it.	6.80692	[{"name": "Walt Disney Pictures", "id": 2}]	[{"iso_3166_1": "US", "name": "United States of America"}]	2/11/1999	36850101	94	[{"iso_639_1": "en", "name": "English"}, {"iso_639_1": "it", "name": "Italiano"}]	Released	The martian has landed. There goes the neighborhood.	My Favorite Martian	5.1	80
60000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]		5820	[{"id": 840, "name": "usa president"}, {"id": 33705, "name": "agent"}]	en	The Sentinel	A secret service agent is framed as the mole in an assassination attempt on the president. He must clear his name and foil another assassination attempt while on the run from a relentless FBI agent.	15.352807	[{"name": "Twentieth Century Fox Film Corporation", "id": 306}, {"name": "Dune Entertainment", "id": 444}, {"name": "Major Studio Partners", "id": 445}, {"name": "Regency Enterprises", "id": 508}, {"name": "Epsilon Motion Pictures", "id": 1171}, {"name": "New Regency Pictures", "id": 10104}, {"name": "Sentinel Productions", "id": 28537}, {"name": "Furthur Films", "id": 33433}]	[{"iso_3166_1": "US", "name": "United States of America"}]	4/19/2006	77920346	108	[{"iso_639_1": "en", "name": "English"}]	Released	In 141 years, there's never been a traitor in the Secret Service.... Until Now.	The Sentinel	5.8	225
