budget	genres	homepage	id	keywords	original_language	original_title	overview	popularity	production_companies	production_countries	release_date	revenue cost	runtime	spoken_languages	status	tagline	title	rating	rating_count
0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}]	http://www.americangirl.com/movie/	8359	[{"id": 8057, "name": "cincinnati"}, {"id": 187056, "name": "woman director"}]	en	Kit Kittredge: An American Girl	The Great Depression hits home for nine year old Kit Kittredge when her dad loses his business and leaves to find work. Oscar nominee Abigail Breslin stars as Kit, leading a splendid cast in the first ever "American Girl" theatrical movie. In order to keep their home, Kit and her mother must take in boarders - paying house - guests who turn out to be full of fascinating stories. When mother's lockbox containing all their money is stolen, Kit's new hobo friend Will is the prime suspect. Kit refuses to believe that Will would steal, and her efforts to sniff out the real story get her and friends into big trouble. The police say the robbery was an inside job, committed by someone they know. So if it wasn't Will, then who did it.	6.27141	[{"name": "New Line Cinema", "id": 12}, {"name": "Goldsmith-Thomas Productions", "id": 2454}, {"name": "Red Om Films", "id": 2455}, {"name": "HBO Films", "id": 7429}, {"name": "Picturehouse", "id": 52005}, {"name": "Front Street Films", "id": 52006}, {"name": "American Girl Brands", "id": 52007}]	[{"iso_3166_1": "US", "name": "United States of America"}]	7/2/2008	0	101	[{"iso_639_1": "en", "name": "English"}]	Released	Kit Kittredge, a resourceful young girl, helps her mother run a boardinghouse after her father loses his job.	Kit Kittredge: An American Girl	6.4	34
0	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}, {"id": 10749, "name": "Romance"}]	http://www.watchvideoseries.com/movies/the-perfect-man-2005/	15648	[{"id": 456, "name": "mother"}, {"id": 5756, "name": "man-woman relation"}, {"id": 9457, "name": "single"}, {"id": 10132, "name": "matchmaking"}, {"id": 14768, "name": "single mother"}, {"id": 219849, "name": "catfishing"}]	en	The Perfect Man	Holly is tired of moving every time her mom Jean breaks up with yet another second-rate guy. To distract her mother from her latest bad choice, Holly conceives the perfect plan for the perfect man, an imaginary secret admirer who will romance Jean and boost her self-esteem.	11.158906	[{"name": "Universal Pictures", "id": 33}]	[{"iso_3166_1": "US", "name": "United States of America"}]	6/17/2005	0	100	[{"iso_639_1": "en", "name": "English"}, {"iso_639_1": "de", "name": "Deutsch"}]	Released	Is it all too good to be true?	The Perfect Man	5.5	203
10000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]		41823	[{"id": 4344, "name": "musical"}]	en	Mo' Better Blues	Opens with Bleek as a child learning to play the trumpet, his friends want him to come out and play but mother insists he finish his lessons. Bleek grows into adulthood and forms his own band - The Bleek Gilliam Quartet. The story of Bleek's and Shadow's friendly rivalry on stage which spills into their professional relationship and threatens to tear apart the quartet.	3.079862	[{"name": "Universal Pictures", "id": 33}, {"name": "40 Acres & A Mule Filmworks", "id": 4319}]	[{"iso_3166_1": "US", "name": "United States of America"}]	8/3/1990	16153593	129	[{"iso_639_1": "en", "name": "English"}]	Released		Mo' Better Blues	6.3	47
0	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}]		11891	[{"id": 1465, "name": "loss of family"}, {"id": 2143, "name": "loss of parents"}, {"id": 4769, "name": "supernatural powers"}, {"id": 8872, "name": "invulnerability"}, {"id": 11931, "name": "spoof"}, {"id": 156075, "name": "evil"}, {"id": 217324, "name": "murder hunt"}]	en	Kung Pow: Enter the Fist	A movie within a movie, created to spoof the martial arts genre. Writer/director Steve Oedekerk uses contemporary characters and splices them into a 1970s kung-fu film, weaving the new and old together.
 As the main character, The Chosen One, Oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend Master Pain. Along the way, he encounters some strange characters	8.288813	[{"name": "Twentieth Century Fox Film Corporation", "id": 306}, {"name": "O Entertainment", "id": 5682}]	[{"iso_3166_1": "HK", "name": "Hong Kong"}, {"iso_3166_1": "US", "name": "United States of America"}]	1/25/2002	0	81	[{"iso_639_1": "en", "name": "English"}]	Released		Kung Pow: Enter the Fist	6.1	159
11000000	[{"id": 28, "name": "Action"}, {"id": 27, "name": "Horror"}]		9362	[{"id": 1197, "name": "nevada"}, {"id": 1415, "name": "small town"}, {"id": 2025, "name": "tractor"}, {"id": 9743, "name": "stranded"}, {"id": 10471, "name": "cult favorite"}, {"id": 14991, "name": "tentacle"}, {"id": 18255, "name": "rural"}, {"id": 158064, "name": "graboids"}, {"id": 158070, "name": "seismologist"}, {"id": 158071, "name": "binoculars"}, {"id": 158072, "name": "man eaten by monster"}, {"id": 158144, "name": "giant worm"}]	en	Tremors	Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground.	32.579697	[{"name": "Universal Pictures", "id": 33}, {"name": "No Frills Film Production", "id": 3851}]	[{"iso_3166_1": "US", "name": "United States of America"}]	1/19/1990	48572000	96	[{"iso_639_1": "en", "name": "English"}]	Released	The monster movie that breaks new ground.	Tremors	6.6	864
12600000	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}]		9902	[{"id": 314, "name": "life and death"}, {"id": 4959, "name": "death of a friend"}, {"id": 5313, "name": "parts of dead body"}]	en	Wrong Turn	Chris crashes into a carload of other young people, and the group of stranded motorists is soon lost in the woods of West Virginia, where they're hunted by three cannibalistic mountain men who are grossly disfigured by generations of inbreeding.	33.555764	[{"name": "Summit Entertainment", "id": 491}, {"name": "Newmarket Capital Group", "id": 506}, {"name": "Regency Enterprises", "id": 508}, {"name": "Constantin Film Produktion", "id": 5755}, {"name": "Stan Winston Studio", "id": 24211}, {"name": "Media Cooperation One", "id": 24212}, {"name": "DCP Wrong Turn Productions", "id": 53350}]	[{"iso_3166_1": "DE", "name": "Germany"}, {"iso_3166_1": "US", "name": "United States of America"}]	5/30/2003	28650575	84	[{"iso_639_1": "en", "name": "English"}]	Released	It's the last one you'll ever take.	Wrong Turn	6	635
10000000	[{"id": 37, "name": "Western"}, {"id": 36, "name": "History"}]		14729	[{"id": 380, "name": "brother brother relationship"}, {"id": 9910, "name": "jesse james"}, {"id": 222784, "name": "cole younger"}]	en	The Long Riders	The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.	2.959547	[{"name": "United Artists", "id": 60}]	[{"iso_3166_1": "US", "name": "United States of America"}]	5/12/1980	15795189	99	[{"iso_639_1": "en", "name": "English"}, {"iso_639_1": "sv", "name": "svenska"}]	Released	"All the world likes an outlaw. For some damn reason they remember 'em." - Jesse James	The Long Riders	6.6	50
25000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]		9455	[{"id": 242, "name": "new york"}, {"id": 314, "name": "life and death"}, {"id": 2987, "name": "gang war"}, {"id": 6149, "name": "police"}, {"id": 8559, "name": "china town"}, {"id": 41383, "name": "triad"}]	en	The Corruptor	Danny is a young cop partnered with Nick, a seasoned but ethically tainted veteran. As the two try to stop a gang war in Chinatown, Danny relies on Nick but grows increasingly uncomfortable with the way Nick gets things done.	4.068107	[{"name": "New Line Cinema", "id": 12}, {"name": "Illusion Entertainment Group", "id": 3480}]	[{"iso_3166_1": "US", "name": "United States of America"}]	3/12/1999	15156200	110	[{"iso_639_1": "cn", "name": "\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71"}, {"iso_639_1": "en", "name": "English"}, {"iso_639_1": "zh", "name": "\u666e\u901a\u8bdd"}]	Released	You can't play by the rules if there aren't any.	The Corruptor	6	57
10000000	[{"id": 18, "name": "Drama"}]		103731	[{"id": 1261, "name": "river"}, {"id": 1585, "name": "snake"}, {"id": 5521, "name": "arkansas"}, {"id": 10718, "name": "fugitive"}, {"id": 158244, "name": "river boat"}]	en	Mud	Two teenage boys encounter a fugitive and make a pact to help him escape from an island in the Mississippi.	17.663353	[{"name": "FilmNation Entertainment", "id": 7493}, {"name": "Everest Entertainment", "id": 10892}]	[{"iso_3166_1": "US", "name": "United States of America"}]	5/1/2013	21587700	130	[{"iso_639_1": "en", "name": "English"}]	Released		Mud	7	1068
